TANGGAL,TAVG,RH_AVG,RR,FF_AVG,PM25
18-05-2025,29,79,5.7,2,22.27
19-05-2025,28.8,78,1,1,18.35
20-05-2025,29.3,75,0,1,28.43
21-05-2025,28.1,84,0,1,29.8
22-05-2025,28,87,40.4,1,20.14
23-05-2025,26.8,90,4.9,1,18.76
24-05-2025,28.2,81,7.5,1,11.43
25-05-2025,26.9,89,0.5,1,18.77
26-05-2025,27.4,87,33,1,35.94
27-05-2025,29.7,71,21.3,1,9.63
28-05-2025,29.8,76,0,1,20.44
29-05-2025,30.4,76,0,1,22.43
30-05-2025,28.5,82,20,1,36.04
31-05-2025,29.5,80,0,1,25.98
01-06-2025,28.3,75,1.6,1,19.75
02-06-2025,29.4,76,0,1,28.71
03-06-2025,29.5,76,0,0,29.17
04-06-2025,30.2,74,0,1,43.27
05-06-2025,29.8,73,0,1,30.72
06-06-2025,29.3,74,0,1,28.74
07-06-2025,28.6,82,8888,1,
08-06-2025,28.9,76,16.5,1,
09-06-2025,29,78,0,1,
10-06-2025,29.1,81,27.3,1,
11-06-2025,28.4,79,30.5,2,42
12-06-2025,29.2,74,0,1,27.49
13-06-2025,30,71,0,1,28.6
14-06-2025,27.9,80,0,1,20.35
15-06-2025,29.2,76,10.6,1,
16-06-2025,29.9,76,8888,2,
17-06-2025,29.6,76,0,1,21.49
18-06-2025,26.5,87,41.5,1,21.43
19-06-2025,26.6,81,2,1,19.21
20-06-2025,28.2,74,8888,0,19.45
21-06-2025,27.4,83,10.9,1,22.78
22-06-2025,28.9,76,8888,2,34.11
23-06-2025,28.7,76,8888,1,41.3
24-06-2025,28.1,80,0.4,1,34.42
25-06-2025,28.4,75,0,1,35.33
26-06-2025,28.8,73,0,0,26.84
27-06-2025,29.1,77,0,1,32.7
28-06-2025,28.4,77,0,1,37.68
29-06-2025,25.8,90,5.7,1,56.15
30-06-2025,28.1,79,2.1,1,29.8
01-07-2025,28.7,78,17.9,1,12.13
02-07-2025,28.2,78,0,1,15.54
03-07-2025,28.2,79,13,0,43.71
04-07-2025,28.7,74,0,0,13.92
05-07-2025,29.3,74,0,1,17.14
06-07-2025,26.7,83,35.2,1,15.93
07-07-2025,28.1,78,26.4,1,13.5
08-07-2025,28.2,77,72.7,1,22.64
09-07-2025,28.4,80,0,0,15.59
10-07-2025,28.5,70,2.2,1,14.65
11-07-2025,29,64,0,1,16.29
12-07-2025,28.9,69,0,1,29.52
13-07-2025,28.7,72,0,1,22.35
14-07-2025,28.1,80,5.4,0,22.18
15-07-2025,29,79,0,1,30.97
16-07-2025,29.2,75,0,1,27.01
17-07-2025,28.3,80,80,1,22.48
18-07-2025,28.6,79,1.4,1,27.67
19-07-2025,28.2,74,0.2,1,25.05
20-07-2025,28.4,70,0,1,16.6
21-07-2025,28.7,71,0,1,15.91
22-07-2025,28.5,69,0,1,18.36
23-07-2025,29.6,63,0,0,18.39
24-07-2025,29.5,65,0,1,24.76
25-07-2025,29.9,69,0,1,25.17
26-07-2025,29.9,70,0,1,29.15
27-07-2025,29.7,76,0,1,35.92
28-07-2025,29,76,0,1,21.78
